url;titulo;precio;precio millones;area;precio por metro;precio por metro millones;habitaciones;banos;parqueadero;Estrato;Sector;Admón;Admon por mt 2;Estado;Antigüedad;Piso No
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3141781.aspx;Apartamento en Venta Medellín Ciudad del Río;310000000;310;67;4626865,672;4,626865672;3;2;1;5;;;0; Excelente; 1 a 8 años; 12º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/suroriente-det-3139074.aspx;Apartamento en Venta Medellín SurOriente;400000000;400;93;4301075,269;4,301075269;3;2;1;5;;310000;3333; Excelente; 1 a 8 años; 11º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3165945.aspx;Apartamento en Venta Medellín Castropol;340000000;340;87,84;3870673,953;3,870673953;2;2;1;5;;256000;2914;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aguacatala-det-3142235.aspx;Apartamento en Venta Medellín La Aguacatala;270000000;270;88;3068181,818;3,068181818;3;3;1;5;;230000;2614; Excelente; 1 a 8 años; 4º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3034611.aspx;Apartamento en Venta Medellín Castropol;315000000;315;66;4772727,273;4,772727273;2;2;1;5;;215000;3258; Excelente; 1 a 8 años; 9º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/san_diego-det-2991492.aspx;Apartamento en Venta Medellín san diego;295000000;295;67;4402985,075;4,402985075;2;2;1;5;;;0; Bueno; 16 a 30 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/transversal_inferior-det-3143076.aspx;Apartamento en Venta Medellín Transversal Inferior;290000000;290;78;3717948,718;3,717948718;3;2;1;5;;;0; Excelente; 9 a 15 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/frontera-det-3141203.aspx;Apartamento en Venta Medellín La Frontera;350000000;350;99;3535353,535;3,535353535;2;2;1;5;;368000;3717;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3035151.aspx;Apartamento en Venta Medellín El Poblado;270000000;270;115;2347826,087;2,347826087;3;4;1;5;;358000;3113; Bueno; 16 a 30 años; 4º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/inferior-det-2919096.aspx;Apartamento en Venta Medellín la inferior;250000000;250;79;3164556,962;3,164556962;3;2;1;5;;353208;4471; Bueno; 16 a 30 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3129741.aspx;Apartamento en Venta Medellín Ciudad del Río;320000000;320;69;4637681,159;4,637681159;2;2;1;5;;;0; Excelente;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3012458.aspx;Apartamento en Venta Medellín El Poblado;245000000;245;72;3402777,778;3,402777778;2;2;1;5;;421000;5847; Excelente; 9 a 15 años; 6º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/las_palmas-det-3041611.aspx;Apartamento en Venta Medellín Las Palmas;270000000;270;80;3375000;3,375;3;2;1;5;;157000;1963; Excelente; 9 a 15 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aguacatala-det-3054586.aspx;Apartamento en Venta Medellín La Aguacatala;265000000;265;65;4076923,077;4,076923077;2;1;1;5;;307000;4723; Excelente; 16 a 30 años; 4º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/san_diego-det-3120112.aspx;Apartamento en Venta Medellín San Diego;255000000;255;89;2865168,539;2,865168539;3;2;1;5;;220000;2472; Excelente; 9 a 15 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_naranjos-det-2963312.aspx;Apartamento en Venta Medellín Los Naranjos;248000000;248;145;1710344,828;1,710344828;4;2;1;5;;511000;3524; Excelente;; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3140951.aspx;Apartamento en Venta Medellín Castropol;315000000;315;66;4772727,273;4,772727273;2;2;1;5;;215000;3258; Excelente; 1 a 8 años; 9º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3132057.aspx;Apartamento en Venta Medellín El Poblado;443000000;443;101;4386138,614;4,386138614;4;3;1;5;;310000;3069; Bueno; 1 a 8 años; 6º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_maria_los_angeles-det-3127232.aspx;Apartamento en Venta Medellín santa maria de los angeles;260000000;260;63;4126984,127;4,126984127;2;2;1;5;;210000;3333; Bueno; 9 a 15 años; 9º
